Month,State,City,Sessions,New users,Users,Transactions,Transaction revenue
2019|03,Western Australia,Busselton,164,88,126,22,"$1,796.68"
2019|03,Western Australia,Geraldton,810,290,482,0,$0.00
2019|03,Western Australia,Kalgoorlie - Boulder,66,27,49,0,$0.00
2019|03,Western Australia,Kwinana Town Centre,5,5,5,0,$0.00
2019|03,Western Australia,Mandurah,"1,615",591,"1,013",49,"$9,390.94"
2019|03,Western Australia,Perth,"159,004","48,101","74,810","4,123","$485,858.37"
2019|03,Western Australia,Rockingham,11,11,11,0,$0.00
2019|04,(not set),(not set),106,48,79,0,$0.00
2019|04,Australian Capital Territory,(not set),79,21,53,5,$555.61
2019|04,Australian Capital Territory,Canberra,"34,293","10,139","17,430",821,"$105,603.66"
2019|04,Jervis Bay Territory,(not set),5,0,5,0,$0.00
2019|04,New South Wales,(not set),"9,377","2,849","5,072",281,"$29,750.76"
2019|04,New South Wales,Albury,"1,091",387,635,32,"$5,984.17"
2019|04,New South Wales,Armidale,699,222,429,32,"$2,437.72"
2019|04,New South Wales,Ballina,413,127,243,32,"$6,065.97"
2019|04,New South Wales,Batemans Bay,138,5,42,0,$0.00
2019|04,New South Wales,Bathurst,884,228,413,32,"$5,097.97"
2019|04,New South Wales,Bowral,159,48,79,5,"$1,313.05"
2019|04,New South Wales,Broken Hill,90,37,79,5,"$1,010.36"
2019|04,New South Wales,Byron Bay,757,265,439,37,"$3,878.58"
2019|04,New South Wales,Casino,53,27,42,0,$0.00
2019|04,New South Wales,Central Coast,"15,910","4,649","8,424",424,"$52,519.74"
2019|04,New South Wales,Cessnock,286,64,138,10,"$1,441.97"
2019|04,New South Wales,Coffs Harbour,"1,144",424,709,37,"$5,928.16"
2019|04,New South Wales,Dubbo,"1,186",365,662,42,"$3,863.65"
2019|04,New South Wales,Forbes,164,16,58,0,$0.00
2019|04,New South Wales,Grafton,180,42,101,5,$518.55
2019|04,New South Wales,Griffith,"1,223",185,482,32,"$2,844.24"
2019|04,New South Wales,Katoomba,106,21,58,5,$306.82
2019|04,New South Wales,Kempsey,169,42,101,5,$25.94
